Campaign,age,gender,interest,Impressions,Clicks,Spent,Approved_Conversion,Product
D,35,0,22,325653,63,89.35000026,0,USB-C Charging Cable
D,35,0,22,66277,12,17.30000019,0,USB-C Charging Cable
S,35,0,22,93002,16,23.33999968,0,Lightning Charging Cable
D,35,0,24,109723,27,40.9600004,0,USB-C Charging Cable
N,35,0,24,118941,35,50.11000001,1,ThinkPad Laptop
S,35,0,25,221576,47,66.79000068,1,Lightning Charging Cable
K,35,0,25,8341,1,1.639999986,0,34in Ultrawide Monitor
D,35,0,25,120335,26,36.2299993,0,USB-C Charging Cable
M,35,0,26,182098,40,62.86999989,1,Flatscreen TV
F,35,0,26,227473,52,71.58000052,1,AAA Batteries (4-pack)
I,35,0,27,1050947,230,350.5099957,1,27in FHD Monitor
A,35,0,27,720859,162,213.6899986,5,iPhone
N,35,0,28,41111,8,10.96000016,0,ThinkPad Laptop
R,35,0,29,148616,25,37.39999962,4,LG Dryer
A,35,0,29,707260,135,210.8200028,6,iPhone
O,35,0,29,139596,26,42.41000032,1,20in Monitor
S,35,0,30,105399,22,33.19999933,0,Lightning Charging Cable
P,35,0,32,222378,50,72.91000104,0,Vareebadd Phone
O,35,0,63,975792,210,293.8800011,4,20in Monitor
J,35,0,63,579150,125,167.0499997,1,27in 4K Gaming Monitor
E,35,0,63,449588,81,123.800001,2,AA Batteries (4-pack)
H,35,0,63,318157,56,85.70000196,0,Bose SoundSport Headphones
F,35,0,63,196967,43,65.17999971,1,AAA Batteries (4-pack)
O,35,0,64,158298,37,46.43000007,1,20in Monitor
F,35,0,64,222739,55,68.55999959,2,AAA Batteries (4-pack)
C,35,0,2,20780,5,8.189999938,0,Apple Airpods Headphones
I,35,0,7,128616,33,48.54999948,0,27in FHD Monitor
E,40,0,10,258954,61,82.27999902,0,AA Batteries (4-pack)
H,40,0,10,205289,48,71.53000104,0,Bose SoundSport Headphones
Q,40,0,10,611601,138,191.419996,3,LG Washing Machine
E,40,0,10,947657,233,321.8700004,4,AA Batteries (4-pack)
R,40,0,10,233043,49,65.03000033,0,LG Dryer
A,40,0,15,582725,142,194.8099988,2,iPhone
Q,40,0,16,265038,51,78.45999932,1,LG Washing Machine
I,40,0,16,222273,39,53.62999868,1,27in FHD Monitor
B,40,0,16,797234,170,243.7699978,1,Macbook Pro Laptop
H,40,0,16,925555,182,262.8899981,2,Bose SoundSport Headphones
P,40,0,18,22210,3,4.050000191,1,Vareebadd Phone
I,40,0,21,46391,11,16.40999985,1,27in FHD Monitor
F,40,0,21,190477,42,66.38999987,0,AAA Batteries (4-pack)
G,40,0,21,25382,7,9.609999895,0,Wired Headphones
S,40,0,22,65726,17,22.12000012,0,Lightning Charging Cable
M,40,0,23,195220,51,78.06000042,0,Flatscreen TV
L,40,0,23,107501,27,40.87999928,2,Google Phone
F,40,0,25,197772,63,88.21000016,2,AAA Batteries (4-pack)
N,40,0,25,138154,35,48.93999863,0,ThinkPad Laptop
D,40,0,25,270124,69,95.84999895,0,USB-C Charging Cable
H,40,0,26,303971,77,106.9299998,6,Bose SoundSport Headphones
B,40,0,26,682046,183,254.419997,2,Macbook Pro Laptop
S,40,0,26,328365,83,117.3400005,1,Lightning Charging Cable
F,40,0,27,1083259,276,390.2599992,0,AAA Batteries (4-pack)
H,40,0,27,913929,245,340.4099993,2,Bose SoundSport Headphones
J,40,0,28,101586,24,33.47000039,1,27in 4K Gaming Monitor
J,40,0,28,181053,46,66.27999985,1,27in 4K Gaming Monitor
M,40,0,28,133419,35,48.18000007,1,Flatscreen TV
H,40,0,29,489573,113,156.1199993,2,Bose SoundSport Headphones
P,40,0,29,822023,194,288.3300035,0,Vareebadd Phone
F,40,0,30,93176,29,40.37000024,1,AAA Batteries (4-pack)
Q,40,0,31,47229,13,19.27999985,0,LG Washing Machine
A,40,0,31,92263,24,34.03000015,0,iPhone
O,40,0,31,81551,21,29.67000008,0,20in Monitor
N,40,0,32,141037,32,47.78999913,0,ThinkPad Laptop
H,40,0,32,319501,79,111.6500003,0,Bose SoundSport Headphones
I,40,0,36,72741,19,24.33000016,0,27in FHD Monitor
B,40,0,63,597419,135,188.5100002,1,Macbook Pro Laptop
B,40,0,63,98768,21,33.14000034,1,Macbook Pro Laptop
S,40,0,64,173165,41,59.85000026,0,Lightning Charging Cable
N,40,0,65,55823,13,21.10999966,1,ThinkPad Laptop
M,40,0,65,118451,28,38.35000062,1,Flatscreen TV
N,40,0,2,74424,22,30.84000027,1,ThinkPad Laptop
O,40,0,7,47929,12,14.58999991,1,20in Monitor
R,40,0,7,40801,12,15.91999972,0,LG Dryer
N,40,0,66,66017,17,24.22000015,0,ThinkPad Laptop
D,45,0,10,725043,179,238.4000007,3,USB-C Charging Cable
C,45,0,10,382776,97,132.7300007,1,Apple Airpods Headphones
J,45,0,10,548250,137,201.6000042,1,27in 4K Gaming Monitor
Q,45,0,10,1358324,346,465.0799981,2,LG Washing Machine
N,45,0,15,662249,163,234.9399992,0,ThinkPad Laptop
C,45,0,15,559554,139,195.0799994,0,Apple Airpods Headphones
A,45,0,16,320757,68,104.6899989,0,iPhone
J,45,0,16,906151,202,295.5499957,0,27in 4K Gaming Monitor
D,45,0,16,699314,164,226.0300014,0,USB-C Charging Cable
H,45,0,16,850337,198,287.690003,1,Bose SoundSport Headphones
D,45,0,16,1015460,247,315.9000051,2,USB-C Charging Cable
G,45,0,18,890295,227,332.9899989,0,Wired Headphones
J,45,0,18,791817,194,282.490001,2,27in 4K Gaming Monitor
A,45,0,18,317601,76,115.6600008,0,iPhone
J,45,0,18,685211,164,247.3200026,3,27in 4K Gaming Monitor
P,45,0,19,32781,7,11.20000017,2,Vareebadd Phone
P,45,0,19,76785,19,25.45999998,0,Vareebadd Phone
R,45,0,19,719083,206,299.5299983,5,LG Dryer
O,45,0,20,368480,107,140.4200011,4,20in Monitor
L,45,0,20,260945,73,100.8800011,2,Google Phone
E,45,0,21,40998,10,13.35000038,0,AA Batteries (4-pack)
A,45,0,21,183293,53,73.74999964,1,iPhone
P,45,0,22,221561,55,76.75999916,0,Vareebadd Phone
N,45,0,22,436943,109,145.8199974,1,ThinkPad Laptop
H,45,0,23,284488,90,125.2700011,1,Bose SoundSport Headphones
I,45,0,24,85083,32,38.62999976,1,27in FHD Monitor
K,45,0,24,14167,5,7.139999986,0,34in Ultrawide Monitor
L,45,0,25,300637,84,116.9899981,0,Google Phone
K,45,0,25,449921,129,175.9700005,1,34in Ultrawide Monitor
B,45,0,25,282899,71,105.6600007,0,Macbook Pro Laptop
N,45,0,26,669671,186,259.1799988,1,ThinkPad Laptop
O,45,0,26,108655,28,46.92000186,0,20in Monitor
A,45,0,26,536248,146,187.7399978,0,iPhone
O,45,0,27,1055017,265,380.6599952,2,20in Monitor
M,45,0,27,1428421,367,541.7000023,0,Flatscreen TV
N,45,0,27,1088027,272,409.5600026,4,ThinkPad Laptop
D,45,0,28,288517,78,102.3900002,0,USB-C Charging Cable
H,45,0,28,202231,53,67.13000107,1,Bose SoundSport Headphones
S,45,0,28,73222,16,22.86000025,0,Lightning Charging Cable
A,45,0,28,348542,96,134.889999,0,iPhone
I,45,0,29,1097966,266,369.069997,8,27in FHD Monitor
K,45,0,29,526923,138,198.0899972,1,34in Ultrawide Monitor
M,45,0,29,264386,66,91.00000054,1,Flatscreen TV
C,45,0,29,854940,227,297.9100007,3,Apple Airpods Headphones
A,45,0,30,113567,34,50.29000044,0,iPhone
Q,45,0,30,22859,6,9.419999838,0,LG Washing Machine
D,45,0,31,51754,13,20.51999998,0,USB-C Charging Cable
D,45,0,31,104347,28,38.13999993,3,USB-C Charging Cable
A,45,0,63,391998,97,142.0500025,1,iPhone
K,45,0,63,1111156,282,402.3000026,0,34in Ultrawide Monitor
G,45,0,63,427772,117,159.299999,1,Wired Headphones
A,45,0,64,536457,136,193.6599991,1,iPhone
B,45,0,64,179894,43,66.83999872,0,Macbook Pro Laptop
K,45,0,64,479882,131,178.6700007,0,34in Ultrawide Monitor
L,45,0,64,358261,91,130.3600011,0,Google Phone
B,45,0,65,346688,88,114.8599998,0,Macbook Pro Laptop
E,30,1,100,33445,2,3.199999928,0,AA Batteries (4-pack)
H,30,1,101,72228,5,7.529999852,4,Bose SoundSport Headphones
P,30,1,102,49699,2,2.690000057,1,Vareebadd Phone
P,30,1,103,189761,18,27.32999969,1,Vareebadd Phone
C,30,1,105,312524,37,53.78999972,0,Apple Airpods Headphones
O,30,1,107,496760,42,61.00999904,3,20in Monitor
P,30,1,110,310988,34,46.66999936,3,Vareebadd Phone
D,30,1,111,98606,9,12.10999984,0,USB-C Charging Cable
D,30,1,112,51104,2,3.199999928,1,USB-C Charging Cable
M,30,1,113,276762,22,32.09000015,1,Flatscreen TV
O,35,1,101,33534,2,2.960000038,1,20in Monitor
M,35,1,102,128859,16,23.69999957,0,Flatscreen TV
C,35,1,103,92080,12,16.94000018,2,Apple Airpods Headphones
G,35,1,105,211882,33,46.64999926,1,Wired Headphones
G,35,1,107,112776,9,12.67999995,0,Wired Headphones
B,35,1,108,145324,14,19.82000005,1,Macbook Pro Laptop
P,35,1,109,106492,14,21.26000023,0,Vareebadd Phone
R,35,1,110,233845,30,40.73000062,0,LG Dryer
J,35,1,112,155426,17,25.01000023,0,27in 4K Gaming Monitor
P,35,1,113,97540,8,11.5199995,1,Vareebadd Phone
I,35,1,114,61441,5,7.700000048,0,27in FHD Monitor
C,40,1,100,76703,9,12.14999962,1,Apple Airpods Headphones
I,40,1,101,68619,10,14.96000034,0,27in FHD Monitor
O,40,1,104,17559,1,1.49000001,1,20in Monitor
G,40,1,105,137879,19,28.47000003,0,Wired Headphones
R,40,1,106,67710,10,15.14999998,0,LG Dryer
A,40,1,107,348180,41,60.22999907,1,iPhone
D,40,1,108,146246,18,28.71999955,1,USB-C Charging Cable
G,40,1,110,187236,24,34.86999965,2,Wired Headphones
S,40,1,111,72157,9,13.50000036,1,Lightning Charging Cable
R,40,1,112,91180,10,13.55999994,0,LG Dryer
J,40,1,113,86293,6,9.259999871,1,27in 4K Gaming Monitor
E,45,1,100,101410,12,17.94000006,0,AA Batteries (4-pack)
E,45,1,102,134245,18,25.75000024,1,AA Batteries (4-pack)
I,45,1,104,125650,20,30.08000076,0,27in FHD Monitor
R,45,1,105,50406,5,7.26000011,1,LG Dryer
N,45,1,107,121769,13,18.41999996,1,ThinkPad Laptop
N,45,1,108,267106,34,50.5,1,ThinkPad Laptop
M,45,1,109,365539,57,82.13999915,2,Flatscreen TV
H,45,1,110,188758,25,36.60000038,1,Bose SoundSport Headphones
F,45,1,112,108426,13,19.58000016,0,AAA Batteries (4-pack)
G,45,1,113,138525,9,13.65000045,0,Wired Headphones
M,45,1,114,150858,21,30.26000011,0,Flatscreen TV
S,30,0,101,524306,81,113.6800029,4,Lightning Charging Cable
A,30,0,102,104496,9,11.42999983,2,iPhone
Q,30,0,103,452519,68,99.52000237,2,LG Washing Machine
E,30,0,104,442919,76,110.7800021,2,AA Batteries (4-pack)
G,30,0,105,596831,86,120.8799992,0,Wired Headphones
O,30,0,106,173912,26,35.54000032,1,20in Monitor
B,30,0,107,780967,86,119.6400018,4,Macbook Pro Laptop
N,30,0,108,132124,8,11.18999994,0,ThinkPad Laptop
C,30,0,109,623137,100,138.9200006,1,Apple Airpods Headphones
O,30,0,110,99020,10,14.48000044,1,20in Monitor
K,30,0,111,665817,117,163.8000002,9,34in Ultrawide Monitor
D,30,0,112,699232,80,111.9899995,3,USB-C Charging Cable
C,35,0,100,72982,11,15.04999995,0,Apple Airpods Headphones
O,35,0,101,975884,167,237.3199975,3,20in Monitor
A,35,0,102,245607,33,47.87999952,1,iPhone
M,35,0,106,485369,114,164.6400015,0,Flatscreen TV
D,35,0,107,866355,139,200.8299961,5,USB-C Charging Cable
E,35,0,108,502710,72,105.2199969,2,AA Batteries (4-pack)
G,35,0,109,475184,88,127.3200028,1,Wired Headphones
L,35,0,110,357401,47,68.67000008,1,Google Phone
S,35,0,111,99810,14,20.05000019,0,Lightning Charging Cable
N,35,0,112,81569,6,9.409999967,1,ThinkPad Laptop
R,35,0,113,441192,53,77.59999979,2,LG Dryer
G,35,0,114,90470,11,16.73000002,1,Wired Headphones
N,40,0,100,834243,166,246.7499975,7,ThinkPad Laptop
H,40,0,101,696612,152,223.1899948,9,Bose SoundSport Headphones
S,40,0,102,329333,48,67.60999918,0,Lightning Charging Cable
R,40,0,103,1114711,224,319.0000019,0,LG Dryer
B,40,0,104,267316,58,82.92999887,0,Macbook Pro Laptop
I,40,0,105,228629,38,57,0,27in FHD Monitor
E,40,0,106,758340,159,233.110002,4,AA Batteries (4-pack)
J,40,0,107,877535,149,217.7799966,2,27in 4K Gaming Monitor
F,40,0,108,1357386,223,323.0600071,1,AAA Batteries (4-pack)
Q,40,0,109,280240,61,87.99000168,2,LG Washing Machine
P,40,0,110,419922,75,105.4500008,1,Vareebadd Phone
F,40,0,111,402975,83,120.8999977,0,AAA Batteries (4-pack)
P,40,0,112,1137635,211,301.0499992,10,Vareebadd Phone
F,40,0,114,250234,40,62.31999922,1,AAA Batteries (4-pack)
L,45,0,100,904907,195,279.219995,1,Google Phone
D,45,0,101,589270,107,158.0500023,4,USB-C Charging Cable
C,45,0,102,168714,24,36.01000071,2,Apple Airpods Headphones
R,45,0,103,71982,11,16.34000051,0,LG Dryer
B,45,0,104,558666,110,162.6399975,5,Macbook Pro Laptop
B,45,0,105,1118200,235,333.7499943,4,Macbook Pro Laptop
I,45,0,106,107100,23,33.71000051,0,27in FHD Monitor
R,45,0,107,877769,160,232.5900005,4,LG Dryer
E,45,0,108,212508,33,47.69000006,1,AA Batteries (4-pack)
P,45,0,109,1129773,252,358.189997,2,Vareebadd Phone
Q,45,0,110,637549,120,173.8800035,0,LG Washing Machine
S,45,0,111,151531,28,40.28999949,0,Lightning Charging Cable
B,45,0,113,790253,135,198.7100005,2,Macbook Pro Laptop
G,45,0,114,513161,114,165.6099987,2,Wired Headphones
